No,Constituency,Name,State,Party
1,Andaman and Nicobar Islands,BISHNU PADA RAY,Andaman and Nicobar Islands,Bharatiya Janata Party
2,Araku (ST),GUMMA THANUJA RANI,Andhra Pradesh,YSR Congress Party
3,Srikakulam,KINJARAPU RAMMOHAN NAIDU,Andhra Pradesh,Telugu Desam Party
4,Vizianagaram,APPALANAIDU KALISETTI,Andhra Pradesh,Telugu Desam Party
5,Visakhapatnam,SRIBHARAT MATHUKUMILI,Andhra Pradesh,Telugu Desam Party
6,Anakapalli,C.M.RAMESH,Andhra Pradesh,Bharatiya Janata Party
7,Kakinada,TANGELLA UDAY SRINIVAS,Andhra Pradesh,Jana Sena Party
8,Amalapuram (SC),G M HARISH (BALAYOGI),Andhra Pradesh,Telugu Desam Party
9,Rajahmundry,DAGGUBATI PURANDHESHWARI,Andhra Pradesh,Bharatiya Janata Party
10,Narasapuram,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Andhra Pradesh,Bharatiya Janata Party
11,Eluru,PUTTA MAHESH KUMAR,Andhra Pradesh,Telugu Desam Party
12,Machilipatnam,BALASHOWRY VALLABHANENI,Andhra Pradesh,Jana Sena Party
13,Vijayawada,KESINENI SIVANATH (CHINNI),Andhra Pradesh,Telugu Desam Party
14,Guntur,DR CHANDRA SEKHAR PEMMASANI,Andhra Pradesh,Telugu Desam Party
15,Narasaraopet,LAVU SRIKRISHNA DEVARAYALU,Andhra Pradesh,Telugu Desam Party
16,Bapatla (SC),KRISHNA PRASAD TENNETI,Andhra Pradesh,Telugu Desam Party
17,Ongole,MAGUNTA SREENIVASULU REDDY,Andhra Pradesh,Telugu Desam Party
18,Nandyal,DR BYREDDY SHABARI,Andhra Pradesh,Telugu Desam Party
19,Kurnool,BASTIPATI NAGARAJU PANCHALINGALA,Andhra Pradesh,Telugu Desam Party
20,Anantapur,AMBICA G LAKSHMINARAYANA VALMIKI,Andhra Pradesh,Telugu Desam Party
21,Hindupur,B K PARTHASARATHI,Andhra Pradesh,Telugu Desam Party
22,Kadapa,Y. S. AVINASH REDDY,Andhra Pradesh,YSR Congress Party
23,Nellore,PRABHAKAR REDDY VEMIREDDY,Andhra Pradesh,Telugu Desam Party
24,Tirupati (SC),GURUMOORTHY MADDILA,Andhra Pradesh,YSR Congress Party
25,Rajampet,P V MIDHUN REDDY,Andhra Pradesh,YSR Congress Party
26,Chittoor (SC),DAGGUMALLA PRASADA RAO,Andhra Pradesh,Telugu Desam Party
27,Arunachal West,KIREN RIJIJU,Arunachal Pradesh,Bharatiya Janata Party
28,Arunachal East,TAPIR GAO,Arunachal Pradesh,Bharatiya Janata Party
29,Kokrajhar (ST),JOYANTA BASUMATARY,Assam,United People's Party Liberal
30,Dhubri,RAKIBUL HUSSAIN,Assam,Indian National Congress
31,Barpeta,PHANI BHUSAN CHOUDHURY,Assam,Asom Gana Parishad
32,Darrang–Udalguri,DILIP SAIKIA,Assam,Bharatiya Janata Party
33,Guwahati,BIJULI KALITA MEDHI,Assam,Bharatiya Janata Party
34,Diphu (ST),AMARSING TISSO,Assam,Bharatiya Janata Party
35,Karimganj,KRIPANATH MALLAH,Assam,Bharatiya Janata Party
36,Silchar (SC),PARIMAL SUKLABAIDYA,Assam,Bharatiya Janata Party
37,Nagaon,PRADYUT BORDOLOI,Assam,Indian National Congress
38,Kaziranga,KAMAKHYA PRASAD TASA,Assam,Bharatiya Janata Party
39,Sonitpur,RANJIT DUTTA,Assam,Bharatiya Janata Party
40,Lakhimpur,PRADAN BARUAH,Assam,Bharatiya Janata Party
41,Dibrugarh,SARBANANDA SONOWAL,Assam,Bharatiya Janata Party
42,Jorhat,GAURAV GOGOI,Assam,Indian National Congress
43,Valmiki Nagar,SUNIL KUMAR,Bihar,Janata Dal (United)
44,Paschim Champaran,DR.SANJAY JAISWAL,Bihar,Bharatiya Janata Party
45,Purvi Champaran,RADHA MOHAN SINGH,Bihar,Bharatiya Janata Party
46,Sheohar,LOVELY ANAND,Bihar,Janata Dal (United)
47,Sitamarhi,DEVESH CHANDRA THAKUR,Bihar,Janata Dal (United)
48,Madhubani,ASHOK KUMAR YADAV,Bihar,Bharatiya Janata Party
49,Jhanjharpur,RAMPRIT MANDAL,Bihar,Janata Dal (United)
50,Supaul,DILESHWAR KAMAIT,Bihar,Janata Dal (United)
51,Araria,PRADEEP KUMAR SINGH,Bihar,Bharatiya Janata Party
52,Kishanganj,MOHAMMAD JAWED,Bihar,Indian National Congress
53,Katihar,TARIQ ANWAR,Bihar,Indian National Congress
54,Purnia,RAJESH RANJAN ALIAS PAPPU YADAV,Bihar,Indian National Congress
55,Madhepura,DINESH CHANDRA YADAV,Bihar,Janata Dal (United)
56,Darbhanga,GOPAL JEE THAKUR,Bihar,Bharatiya Janata Party
57,Muzaffarpur,RAJ BHUSHAN CHOUDHARY,Bihar,Bharatiya Janata Party
58,Vaishali,VEENA DEVI,Bihar,Lok Janshakti Party
59,Gopalganj (SC),DR. ALOK KUMAR SUMAN,Bihar,Janata Dal (United)
60,Siwan,VIJAYLAKSHMI DEVI,Bihar,Janata Dal (United)
61,Maharajganj,JANARDAN SINGH SIGRIWAL,Bihar,Bharatiya Janata Party
62,Saran,RAJIV PRATAP RUDY,Bihar,Bharatiya Janata Party
63,Hajipur (SC),CHIRAG PASWAN,Bihar,Lok Janshakti Party
64,Ujiarpur,NITYANAND RAI,Bihar,Bharatiya Janata Party
65,Samastipur (SC),SHAMBHAVI,Bihar,Lok Janshakti Party
66,Begusarai,GIRIRAJ SINGH,Bihar,Bharatiya Janata Party
67,Khagaria,RAJESH VERMA,Bihar,Lok Janshakti Party
68,Bhagalpur,AJAY KUMAR MANDAL,Bihar,Janata Dal (United)
69,Banka,GIRIDHARI YADAV,Bihar,Janata Dal (United)
70,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Bihar,Janata Dal (United)
71,Nalanda,KAUSHALENDRA KUMAR,Bihar,Janata Dal (United)
72,Patna Sahib,RAVI SHANKAR PRASAD,Bihar,Bharatiya Janata Party
73,Pataliputra,MISHA BHARTI,Bihar,Rashtriya Janata Dal
74,Arrah,SUDAMA PRASAD,Bihar,Communist Party of India (Marxist-Leninist) Liberation
75,Buxar,SUDHAKAR SINGH,Bihar,Rashtriya Janata Dal
76,Sasaram (SC),MANOJ KUMAR,Bihar,Indian National Congress
77,Karakat,RAJA RAM SINGH Kushwaha,Bihar,Communist Party of India (Marxist-Leninist) Liberation
